grade,topic,title,checked_by,kind,ccss,does,notes,worksheet_link,answer_key_link
K,Length,Kindergarten Math - Length - 01 Identifying Long or Short One,looked at pages,practice,K.MD.A.1,"Each sheet shows 6 pairs of cartoon creatures (caterpillars on sheet 1, worms on sheet 2) of different lengths on leaves/ovals; student ticks (checks) the one that is long or short per the instruction above each pair (e.g. Tick the long caterpillar / Tick the short worm).",Visually confirmed pages 1-2 (mathworksheets4kids.com). Sheet 1: caterpillars; Sheet 2: worms; presumably sheet 3 continues theme with another animal pair.,https://drive.google.com/file/d/1TbMK00kjviivIT1_JT8FNQ5dZgRVfFIR/view,https://drive.google.com/file/d/1c0vQHFSXOZTvjC2l0eesuvOiTiRiSDlC/view
K,Length,Kindergarten Math - Length - 02 Drawing Line Segments,read text,practice,K.MD.A.1,"Students draw a new line segment that is longer than or shorter than a given reference segment; 5 items per sheet across 3 sheets, freehand drawing task.",,https://drive.google.com/file/d/1Spmjx4XR3car9oGjD2LqBipAqqNgsVaA/view,https://drive.google.com/file/d/1PaXBCtE-QlacqAAvHTj8vzaGSCoIwQjK/view
K,Length,Kindergarten Math - Length - 03 Measuring Objects with Paper Clips,read text,practice,K.MD.A.1,Students measure each pictured object using paper clips as a nonstandard unit and write the number of paper clips long it is; 7 items per sheet across 3 sheets.,,https://drive.google.com/file/d/17boacG9P4cC6-XnIx_K3pydlFeMewwyw/view,https://drive.google.com/file/d/1z_DbH4JPnYcB_hcgOXM9pc51PKHR6maR/view
K,Length,Kindergarten Math - Length - 04 Measuring Objects with Blocks or Cubes,read text,practice,K.MD.A.1,Students measure each pictured object using blocks/cubes as a nonstandard unit and write the number of blocks long it is; 6 items per sheet across 3 sheets.,,https://drive.google.com/file/d/1mrhnvbZbQJ4azKybqNdKpoHluQVASKf2/view,https://drive.google.com/file/d/1b4LY-a6D46kEFjUJiiHW0e4_SxE88N92/view
K,Length,Kindergarten Math - Length - 05 Reptile Theme Long vs Short,looked at pages,practice,K.MD.A.1,"Each section shows a pair of reptiles (geckos, a crocodile/alligator pair, snakes, lizards) of different sizes; student ticks the long reptile and crosses out the short reptile in each of the 4 sections per sheet.","Visually confirmed page 1 (mathworksheets4kids.com, reptile theme: geckos, crocodile, snakes, lizards).",https://drive.google.com/file/d/1-ISutU3krjLFKEmSjJ-S34c1Hpm9Ps9P/view,https://drive.google.com/file/d/1OGJJCIv14SryJkVvEHzye7Xjm8m0JH-6/view
K,Length,Kindergarten Math - Length - 06 Classroom Theme Long vs Short,looked at pages,practice,K.MD.A.1,"Six boxes each show a pair of classroom/everyday objects (rulers, erasers, pencils, pushpin/needle, watches, pencil cases); student answers ""Which is longer?"" or ""Which is shorter?"" by identifying the correct object in each pair.","Visually confirmed page 1 (mathworksheets4kids.com, classroom objects: rulers, erasers, pencils, pushpin, watches, pencil cases).",https://drive.google.com/file/d/1DG0-gOFa1h0vhywwdONBf_X4r0iUTQJp/view,https://drive.google.com/file/d/12Nf_DiZYGAaDzdGg6MztpoQa_Xo-YGsv/view
K,Length,Kindergarten Math - Length - 07 Real Life Objects,looked at pages,practice,K.MD.A.1,"A hexagon-grid layout with 7 numbered cells, each showing a pair of real-life vehicles (ship/sailboat, scooter/car, train/roller, bike/plane, truck, bus/moped, motorcycle/helicopter); student ticks the long vehicle and crosses out the short vehicle in each section.","Visually confirmed page 1 (mathworksheets4kids.com, vehicles: ships, cars, trains, bikes, planes, trucks, buses, motorcycles, helicopters).",https://drive.google.com/file/d/1Cy2zUiGRXrjzK8D9NXcIBWxloUQXD5lb/view,https://drive.google.com/file/d/1AtL5R_AnCsEPrZ_KpBkOtYjIZ5fbTaYs/view
K,Length,Kindergarten Math - Length - 08 Longest vs Shortest,looked at pages,practice,K.MD.A.1,"Six cloud-shaped boxes each show THREE objects of the same type (iron nails, cotton swabs, radishes, pencils, keys, lollipops) of varying lengths; student ticks the longest or shortest object as instructed, extending the pairwise comparison to a 3-way superlative comparison.","Visually confirmed page 1 (mathworksheets4kids.com); note this uses THREE objects per group (longest/shortest), unlike sheets 01/05/06/07 which use pairs (long/short).",https://drive.google.com/file/d/1PIMH4WTamYnpoywd0oT5kfwcYngfE5Dl/view,https://drive.google.com/file/d/1AtL5R_AnCsEPrZ_KpBkOtYjIZ5fbTaYs/view
K,Math - Addition,Kindergarten Math - Addition - 01 Adding 2-digit Numbers with Single-digit Numbers,read text,practice,1.NBT.C.4,"Vertical addition of a 2-digit number (11-19) plus a single-digit number (12 problems per sheet), plus two addition word problems per sheet involving 2-digit quantities (e.g. Easter eggs, dolls, money in dollars, birthday guests, miles, fish).",Adding a 2-digit and 1-digit number (sums to ~20) is a Grade 1 skill (1.NBT.C.4) though filed under Kindergarten.,https://drive.google.com/file/d/1JzLVvlIrz4qtVB-NxM6CP_XLD117SesW/view,https://drive.google.com/file/d/1mHYmI7cJFI1Xh90IUIie55uw7ja5Mj_e/view
K,Math - Addition,Kindergarten Math - Addition - 02 Adding Numbers Sums up to 5,read text,practice,"K.OA.A.1, K.OA.A.2","Mixed sheet: picture-based addition problems, plain number-sentence addition facts (sums up to 5), and one short addition word problem per sheet (e.g. pencils, shapes, pine cones).",,https://drive.google.com/file/d/1j9QUP2M-pDlCAD0o13ApNgjsl1f2nFu1/view,https://drive.google.com/file/d/1bAbbWPwULfLbp8T0_WHkmb3psBR0_3OX/view
K,Math - Addition,Kindergarten Math - Addition - 03 Count and Find the Sum Sums up to 10,read text,practice,K.OA.A.1,"Students count two groups of pictures and write the addition sum, sums up to 10 (5 problems per sheet).",,https://drive.google.com/file/d/1NxsyYsthg1oTeTFShLC2cZ5Ohl_wtWDb/view,https://drive.google.com/file/d/1M483u3nGBK1IneFKcPSzjOq8CpHoMKx1/view
K,Math - Addition,Kindergarten Math - Addition - 04 Adding Numbers Sums up to 10,read text,practice,"K.OA.A.1, K.OA.A.2","Mixed sheet: picture-based addition problems, plain number-sentence addition facts (sums up to 10), and one addition word problem per sheet (e.g. roses, avocados, students on a bus).",,https://drive.google.com/file/d/1JSbIBDT8869MqNv9_48YLi2sFuysACFY/view,https://drive.google.com/file/d/1jM_GdQZ_hbIPUtjRvq0bvToi5RVNoogP/view
K,Math - Addition,Kindergarten Math - Addition - 05 Decomposing Sums up to 10,read text,practice,K.OA.A.3,"Students identify which addition equations (from several options) sum to a target number shown on a star, sums up to 10, decomposing numbers into two addends.",,https://drive.google.com/file/d/1bzXFRqr9Xk9hmEzh6IS_E_KX3Zy6IANu/view,https://drive.google.com/file/d/1V8E3xivEJi38tJrgQ1Dcq1cLboHdbKJk/view
K,Math - Addition,Kindergarten Math - Addition - 06 Adding One Set,looked at pages,practice,"K.OA.A.2, K.NBT.A.1","Adding One: 'Write the sum using the number line.' 4 problems, each a number line (6 numbers wide) with an animal (dog, cat, rabbit, deer) shown jumping 1 space from the starting number; the +1 equation is printed below (e.g. 6+1=, 3+1=, 8+1=, 5+1=) with a blank box for the sum.",Viewed the single page (1 of 1); mathworksheets4kids.com template.,https://drive.google.com/file/d/1Aj-ltXN29mPhgPdi-BVYpmRcfMuGaVZ_/view,https://drive.google.com/file/d/1z8VoYROggSCjLiTTig1l3FjSNH8BTEaD/view
